id,key,value,schema,model,amount
0,category,carbon,economy,energypro,24
1,category,fuel,economy,energypro,402
2,category,plants,economy,energypro,1920
3,costs,inv,economy,energypro,24
4,costs,var,economy,energypro,1776
5,field,costs,economy,energypro,1800
6,field,demand,economy,energypro,24
7,field,efficiency,economy,energypro,144
8,field,prices,economy,energypro,240
9,field,taxes,economy,energypro,186
11,plants,biomass,economy,energypro,504
12,plants,coal,economy,energypro,360
13,plants,gas,economy,energypro,552
14,plants,oil,economy,energypro,288
15,plants,ph_chp,economy,energypro,24
16,plants,php,economy,energypro,144
17,plants,waste,economy,energypro,48
