id,key,value,schema,amount
0,category,capacities,supply,83016
1,category,chp_plant;public;industrial,supply,32112
2,category,commercial,demand,2736
3,category,energy_carrier,demand,22932
4,category,household,demand,2736
5,category,industry,demand,2736
6,category,net_imports,supply,86184
7,category,power_plant;chp_plant;public;industrial,demand,148824
8,category,power_plant;chp_plant;public;industrial,supply,299664
9,category,rail,demand,6480
10,category,rail,economy,144
11,category,renewables,demand,27792
12,category,road,demand,2196
13,category,road,economy,4392
14,category,sector,demand,2448
15,category,transport,demand,2736
16,field,activity,economy,2268
17,field,avg_price,economy,36
18,field,biomass_production,supply,1332
19,field,electricity_exchange,supply,169200
20,field,electricity_production,supply,149832
21,field,emission,environment,2808
22,field,energy_consumption,demand,36324
23,field,fuel_input,demand,157500
24,field,heat_production,supply,32112
25,field,installed_capacities,supply,149832
26,field,primary_energy_consumption,demand,52956
27,field,stock,economy,2268
